base writing sample,imitation,condition of imitation,message type
I really love Newsies. The dancing is soooo good! I'm obsessed. I know. I'm sorry. But it's your fault. , , ,text
"Hey, so I'm really sorry but I accidentally double booked today. I thought I had plans for sunday, but it turns out it was today. ", , ,text
"Dear Kara Lindsay, \nYour solo Watch What Happens is amazing! You're acting is so on point and so vulnerable and honest. It's beautiful. ", , ,text
"Mom, I love you. Thanks for coming to visit me. It means the world to me and I was so happy to see you. ", , ,text
I really want books this year. Just books. Nonfiction. Fiction. I have a whole list. Mystery. , , ,text
"I know we don't get annual raises or bonuses here, but I am asking for a merit based pay raise for the following reasons. ", , ,text
Please can we go to Florida and see the manatees and just sit on a beach in the sun. Oh god I really want the sun. , , ,text
"How about we go to the UK this summer. See the McNeill castle, visit London, see the cliffs of Moher? ", , ,text
"Dear Emma Watson, \nI first found you via Harry Potter. But I really admire how you have used your fame for good. ", , ,text
Suzy! Ahhhh! Thank you! You're the best! Hahahah! You're so weird! We're so weird! This is great. , , ,text
For my birthday I would really like a new bag. A nice one. The ones I have are either way too big or way too small. , , ,text
Can you stop that? You're on your phone all the time. I hardly ever get to see you and you want me to watch this. So watch it with me. , , ,text
I'm going to be late this morning. The red line is having severe delays. You're probably stuck in it too. , , ,text
"Dear Diana Galbadon, \nI anxiously await the release of your new Outlander novel. Can't wait to see what happens. ", , ,text
"Hey, so I don't think I'm going to make it. Our heat is out and I'm waiting on the plumber. ", , ,text
Is it Friday yet? The coffee machine is broken and we have a tour group today. Drinks after work? , , ,text
The news from home goes from bad to worse and I'm so distracted right now. It's like I can't do anything right. , , ,text
"Sorry to cancel, but this weather is terrible and so let's reschedule. I'm not walking 2 miles in the rain. ", , ,text
Thank you! You're so sweet! You didn't have to do that. You're such a nerd though. Love you! , , ,text
Congratulations! I'm so proud of you! You did it! Way to go! Let's go celebrate! Whooo! , , ,text
I love the reported from the 27 dresses. He's so down to earth and cynical and real. I get it. , , ,text
I'm shaking hands with Dumbledoor. I've won the house cup. And I'm Quiddich Captain too!, , ,text
Awww. You did good this year! I love it. This is going to keep me busy for a while. Thanks!, , ,text
Fall is the best if you live in New England. In California it's summer. Humidity sucks. , , ,text
I loved Hidden Figures. The sass. The actors. The story. The truth. It's amazing. So glad I saw it. , , ,text
